aba 阿爸
qianzi 欠资
qianche 牵扯
qianchan 欠产
qianchangguadu 牵肠挂肚
qiandong 牵动
qiangua 牵挂
qianji 牵记
qianlei 牵累
qianlian 牵连
qiannian 歉年
qianniuhua 牵牛花
qianniuxing 牵牛星
qianqiang 牵强
qianqiangfuhui 牵强附会
qianshe 牵涉
qiantou 前头
qianxian 前贤
qianxiandaqiao 牵线搭桥
qianxianren 牵线人
qianyin 潜隐
qianyinli 牵引力
qianzhi 钳制
qianlin 悭吝
qianbi 前臂
qianbidao 铅笔刀
qianbihua 铅笔画
qiandan 铅弹
qianfeng 铅封
qianhui 铅灰
qiansi 铅丝
qianbei 谦卑
qiancheng 谦称
qianci 谦词
qiangong 钳工
qianqianjunzi 谦谦君子
qianrang 谦让
qianxu 谦虚
qianxun 谦逊
qiandao 签到
qiandaobu 签到簿
qianding 签订
qianfa 签发
qianming 签名
qianshou 纤手
qianshu 钱数
qiantong 签筒
qianya 签押
qianyue 签约
qianzheng 签证
qianzhu 签注
qianzibi 签字笔
qiangongjinqi 前功尽弃
qianjuhougong 前倨后恭
qianpuhouji 前仆后继
qianbanye 前半夜
qianbian 前边
qianbujiu 前不久
qianchao 前朝
qianchezhijian 前车之鉴
qianchou 前仇
qiandi 前敌
qianduan 前端
qiane 前额
qianfang 前房
qianfuhouyang 前俯后仰
qianfuhouji 前赴后继
qiangunfan 前滚翻
qianhan 前汉
qianhou 前后
qianhoujiaoer 前后脚儿
qianhuhouyong 前呼后拥
qianjiao 前脚
qianjing 虔敬
qianlai 前来
qianlie 前列
qianliexian 前列腺
qianmao 前茅
qianmen 前门
qianmian 前面
qianqi 前妻
qianqianhouhou 前前后后
qianqin 前秦
qianqing 前倾
qianqu 前驱
qianren 前任
qianri 前日
qianshao 前哨
qianshen 欠伸
qiansheng 纤绳
qianshi 芡实
qiansihouxiang 前思后想
qiansuoweijian 前所未见
qiansuoweiwen 前所未闻
qiansuoweiyou 前所未有
qiantai 前台
qianti 前提
qiantian 前天
qiantu 前途
qiantui 前腿
qianwang 前往
qianwei 前卫
qianwuguren 前无古人
qianxing 潜行
qianxiong 前胸
qianyanghouhe 前仰后合
qianye 前夜
qianyinhouguo 前因后果
qianyuan 前缘
qianzhan 前站
qianzhao 前赵
qianzhe 前者
qianzou 前奏
qianzouqu 前奏曲
qianzuo 前作
qianma 荨麻
qianxin 虔心
qianbao 钱包
qiancai 钱财
qianchuanzi 钱串子
qiangui 钱柜
qiankuan 钱款
qianliang 钱粮
qianwu 钱物
qianyaner 钱眼儿
qianzhuang 钱庄
qiankun 乾坤
qiantaici 潜台词
qianzai 潜在
qiancang 潜藏
qianfan 潜返
qianfuqi 潜伏期
qianhang 潜航
qianliu 潜流
qianneng 潜能
qianshui 潜水
qianshuibeng 潜水泵
qianshuiting 潜水艇
qianshuiyi 潜水衣
qianshuiyuan 潜水员
qiantao 潜逃
qianting 潜艇
qianwangjing 潜望镜
qianyimohua 潜移默化
qianyishi 潜意识
qianyong 潜泳
qianzianzhang 潜滋暗长
qianzong 潜踪
qianlvjiqiong 黔驴技穷
qianbai 浅白
qianbiao 浅表
qianbo 浅薄
qianchangzhezhi 浅尝辄止
qianhai 浅海
qianlou 浅陋
qianlu 浅露
qianse 浅色
qianshuo 浅说
qiantan 浅谈
qianxiao 浅笑
qiancizaoju 遣词造句
qiansan 遣散
qiansong 遣送
qianze 谴责
qianquan 缱绻
qianan 欠安
qianhuo 欠火
qianjia 欠佳
qianque 欠缺
qiantiao 欠条
qiantuo 欠妥
qianzhai 欠债
qianzhang 欠账
qiancao 茜草
qianying 倩影
qianhao 堑壕
qiang 戗
qiangdi 羌笛
qiangzu 羌族
qianghai 戕害
qiangganzi 枪杆子
qiangsheng 强盛
qiangzier 枪子儿
qiangba 枪把
qiangbi 强逼
qiangci 枪刺
qiangdan 枪弹
qiangfa 枪法
qiangji 强击
qiangjue 枪决
qiangkou 枪口
qianglindanyu 枪林弹雨
qiangliudan 枪榴弹
qiangpao 枪炮
qiangsha 枪杀
qiangshang 抢墒
qiangshou 抢收
qiangshu 枪术
qiangshuan 枪栓
qiangtang 枪膛
qiangtuo 枪托
qiangxie 枪械
qiangyan 枪眼
qiangzhan 枪战
qiangzhi 墙纸
qiangchangdongwu 腔肠动物
qiangdiao 腔调
qianglang 蜣螂
qiangshui 镪水
qiangdu 抢渡
qiangduo 强夺
qiangfeng 强风
qianggong 抢工
qiangda 抢答
qianggu 强固
qiangguo 强国
qianghan 强悍
qiangheng 强横
qianghua 强化
qiangbao 墙报
qiangcheng 强撑
qiangdao 强盗
qiangjiji 强击机
qiangjia 强加
qiangjiayuren 强加于人
qiangjian 抢建
qiangjiang 强将
qiangjing 强劲
qiangli 强力
qiangliang 强梁
qianglie 强烈
qiangling 强令
qiangnuzhimo 强弩之末
qiangqianglianhe 强强联合
qiangquhaoduo 强取豪夺
qiangquan 强权
qiangredaifengbao 强热带风暴
qiangren 强人
qiangshen 强身
qiangsi 强似
qiangsuan 强酸
qiangxiang 强项
qiangxinji 强心剂
qiangxinzhen 强心针
qiangxing 强行
qiangxingjun 强行军
qiangya 强压
qiangying 强硬
qiangyingpai 强硬派
qiangyouli 强有力
qiangzhe 强者
qiangzhen 强震
qiangzhixing 强制性
qiangzhuang 强壮
qiangmian 戗面
qianggen 墙根
qiangjiao 墙脚
qiangqun 墙裙
qiangtou 墙头
qiangtoucao 墙头草
qiangwei 墙围
qiangyuan 墙垣
qiangbian 强辩
qiangciduoli 强词夺理
qiangpo 强迫
qiangqiu 强求
qiangrensuonan 强人所难
qiangshi 强使
qiangyanhuanxiao 强颜欢笑
qiangyun 抢运
qiangzhong 抢种
qiangjingtou 抢镜头
qiangzui 抢嘴
qiangtan 抢滩
qiangbai 抢白
qiangdian 抢点
qiangfei 抢匪
qianggou 抢购
qiangjie 抢劫
qiangjiu 抢救
qianglue 抢掠
qiangpai 抢拍
qiangqin 抢亲
qiangshijian 抢时间
qiangshouhuo 抢手货
qiangxian 抢先
qiangxiu 抢修
qiaomeisheng 悄没声
qiaoqiao 悄悄
qiaoqiaohua 悄悄话
qiaowushengxi 悄无声息
qiao 劁
qiaoqiaoban 跷跷板
qiaobiangu 敲边鼓
qiaoda 敲打
qiaoding 敲定
qiaoji 桥基
qiaoluodagu 敲锣打鼓
qiaomenzhuan 敲门砖
qiaoshanzhenhu 敲山震虎
qiaozha 敲诈
qiaozhalesuo 敲诈勒索
qiaozhugang 敲竹杠
qiaozi 雀子
qiaoban 乔扮
qiaomu 乔木
qiaoqisha 乔其纱
qiaoqian 乔迁
qiaoqianzhixi 乔迁之喜
qiaozhuang 桥桩
qiaobao 侨胞
qiaohui 侨汇
qiaoju 侨居
qiaojuan 侨眷
qiaoling 侨领
qiaomin 侨民
qiaoshang 侨商
qiaoshu 侨属
qiaowu 侨务
qiaoxiang 侨乡
qiaomai 荞麦
qiaomian 荞面
qiaodong 桥洞
qiaodun 桥墩
qiaogong 桥拱
qiaohan 桥涵
qiaokong 桥孔
qiaolan 桥栏
qiaoliang 桥梁
qiaopai 桥牌
qiaoshen 桥身
qiaotou 桥头
qiaotoubao 桥头堡
qiaocui 憔悴
qiaofu 樵夫
qiaobuqi 瞧不起
qiaobing 瞧病
qiaodeqi 瞧得起
qiaojian 瞧见
qiaopan 翘盼
qiaoqi 翘企
qiaoshou 巧手
qiaoshouyidai 翘首以待
qiaowang 翘望
qiaochu 翘楚
qiaoran 愀然
qiaosheng 悄声
qiaojiang 巧匠
qiaoyan 巧言
qiaobian 巧辩
qiaoduo 巧夺
qiaoduotiangong 巧夺天工
qiaogan 巧干
qiaohe 巧合
qiaojiner 巧劲儿
qiaokeli 巧克力
qiaolimingmu 巧立名目
qiaomiao 巧妙
qiaoqu 巧取
qiaoquhaoduo 巧取豪夺
qiaosheruhuang 巧舌如簧
qiaosi 巧思
qiaoyanlingse 巧言令色
qiaoyu 巧遇
qiaohuo 俏货
qiaoli 峭立
qiaopi 俏皮
qiaopihua 俏皮话
qiaobi 峭壁
qiaoba 峭拔
qiaomen 窍门
qiaobianzi 翘辫子
qiaoweiba 翘尾巴
qiaogang 撬杠
qiaogun 撬棍
qiechu 切除
qiecuo 切磋
qiedian 切点
qiege 切割
qiehua 切花
qiehuan 切换
qiekou 切口
qiemian 切面
qiepian 切片
qieru 切入
qiexian 切线
qiexiao 切削
qiezi 茄子
qieman 且慢
qieshuo 且说
qiechi 切齿
qieduan 切断
qiefen 切分
qiefuzhitong 切肤之痛
qiegao 切糕
qiehe 切合
qieji 切记
qiejin 切近
qiemai 切脉
qiemo 切莫
qiepan 切盼
qieqie 切切
qieshen 切身
qieshi 切实
qieti 切题
qiewang 切望
qiewu 切勿
qieyao 切要
qiezhong 切中
qiechang 怯场
qienuo 怯懦
qieruo 怯弱
qiesheng 怯生
qieshengsheng 怯生生
qiezhen 怯阵
qieqiesiyu 窃窃私语
qiean 窃案
qieguo 窃国
qieju 窃据
qiemi 窃密
qiequ 窃取
qieting 窃听
qietingqi 窃听器
qiezei 窃贼
qieyi 惬意
qieerbushe 锲而不舍
qinshou 禽兽
qinren 亲人
qinshan 亲善
qinben 亲本
qinshen 亲身
qinjuan 亲眷
qinsheng 琴声
qinqi 亲戚
qinshi 琴师
qinshu 琴书
qinsui 亲随
qinwang 亲王
qin 吣
qinai 亲爱
qinbi 亲笔
qindai 亲代
qindu 亲睹
qiner 亲耳
qingurou 亲骨肉
qingu 亲故
qinhe 亲和
qinheli 亲和力
qinjin 勤谨
qinkou 亲口
qinli 亲历
qinlin 亲临
qinling 亲聆
qinmi 亲密
qinmiwujian 亲密无间
qinni 亲昵
qinniang 亲娘
qinpeng 亲朋
qinqie 亲切
qinqiegan 亲切感
qinqing 亲情
qinre 亲热
qinwen 亲吻
qinxin 亲信
qinyan 亲眼
qinyou 亲友
qinyuan 亲缘
qinzheng 亲政
qinzi 亲子
qinzijianding 亲子鉴定
qinzu 亲族
qinzui 亲嘴
qinduo 侵夺
qinfan 侵犯
qinhai 侵害
qinlve 侵略
qinquan 侵权
qinrao 侵扰
qinru 侵入
qintun 侵吞
qinxi 侵袭
qinyue 侵越
qinzhan 侵占
qinchai 钦差
qinchaidachen 钦差大臣
qinjing 钦敬
qinmu 钦慕
qinpei 钦佩
qinxian 钦羡
qincai 芹菜
qinjinzhihao 秦晋之好
qinqiang 秦腔
qinyong 秦俑
qinpu 琴谱
qinqu 琴曲
qinse 琴瑟
qingong 琴弓
qinjian 琴键
qindan 禽蛋
qinliugan 禽流感
qinza 勤杂
qinfen 勤奋
qingongjianxue 勤工俭学
qingongzhuxue 勤工助学
qinken 勤恳
qinku 勤苦
qinkuai 勤快
qinlao 勤劳
qinmian 勤勉
qinwu 勤务
qinxuekulian 勤学苦练
qinyu 勤于
qinzagong 勤杂工
qinzarenyuan 勤杂人员
qinlei 噙泪
qindi 擒敌
qinhuo 擒获
qinna 擒拿
qinju 寝具
qinshibuan 寝食不安
qinrenfeifu 沁人肺腑
qinrenxinpi 沁人心脾
qingcai 青菜
qingjin 罄尽
qingtian 清甜
qingtianbairi 青天白日
qingke 顷刻
qinglai 青睐
qinglong 青龙
qinglou 青楼
qinglv 青绿
qingma 青麻
qingmei 青梅
qingmeisu 青霉素
qingmeizhuma 青梅竹马
qingmianliaoya 青面獠牙
qingmiao 青苗
qingnian 青年
qingniangong 青年宫
qingnianjie 青年节
qingnianren 青年人
qingniantuan 青年团
qingpi 青皮
qingse 青涩
qingshazhang 青纱帐
qingshan 青山
qingshaonian 青少年
qingshi 情诗
qingsi 情丝
qingsiliao 青饲料
qingsong 青松
qingsuan 青蒜
qingtai 情态
qing 卿
qingbang 青帮
qingcao 青草
qingcha 青茶
qingchong 青虫
qingchuyulan 青出于蓝
qingchun 清醇
qingtangwashe 青堂瓦舍
qingchundou 青春痘
qingchunqi 青春期
qingci 青瓷
qingcong 青葱
qingcui 青翠
qingcuiyudi 青翠欲滴
qingdai 青黛
qingdeng 青灯
qingdou 青豆
qingguangyan 青光眼
qingguo 青果
qinghai 情海
qinghao 晴好
qinghongzaobai 青红皂白
qinghuangbujie 青黄不接
qinghui 青灰
qingjiao 倾角
qingtianshi 青田石
qingtong 青铜
qingtongqi 青铜器
qingwa 清挖
qingxia 青虾
qingyang 青杨
qingyi 清逸
qingyu 清誉
qingyun 情韵
qingyunzhishang 青云直上
qingzhong 青冢
qingzhu 青贮
qingzhuan 青砖
qingzi 青紫
qingdan 轻淡
qingqi 清漆
qingyanghuawu 氢氧化物
qingdi 情敌
qinghu 轻忽
qingliangji 轻量级
qingbian 请便
qingbo 轻薄
qingchejiancong 轻车简从
qingcheshulu 轻车熟路
qingdu 轻度
qingeryiju 轻而易举
qingfang 轻纺
qingfeng 轻风
qingfu 情夫
qinggemanwu 轻歌曼舞
qinggongye 轻工业
qinggui 清规
qinghuo 轻活
qingjiqiang 轻机枪
qingjian 轻贱
qingjie 轻捷
qingjinshu 轻金属
qingjuwangdong 轻举妄动
qingkan 轻看
qingkuai 轻快
qingkuang 轻狂
qingman 轻慢
qingmiaodanxie 轻描淡写
qingmie 轻蔑
qingpan 清盘
qingpiao 轻飘
qingpiaopiao 轻飘飘
qingqibing 轻骑兵
qingqiao 轻巧
qingqu 清癯
qingrou 轻柔
qingruan 轻软
qingsha 情杀
qingshang 请赏
qingshen 清神
qingsheng 轻省
qingshouqingjiao 轻手轻脚
qingshuai 轻率
qingtiao 轻佻
qingwei 情味
qingwu 轻侮
qingwuqi 轻武器
qingxian 轻闲
qingxin 清馨
qingxing 轻型
qingyinyue 轻音乐
qingyin 轻吟
qingying 请缨
qingyouyou 轻悠悠
qingyou 轻油
qingyuhongmao 轻于鸿毛
qingzhongdaozhi 轻重倒置
qingzhonghuanji 轻重缓急
qingzhou 轻舟
qingzhuang 轻装
qingzhuangshangzhen 轻装上阵
qingxiao 倾销
qingce 清册
qingchao 清炒
qingchaochudong 倾巢出动
qingchaoerchu 倾巢而出
qingcheng 倾城
qingchengqingguo 倾城倾国
qingdao 清道
qingdong 倾动
qinger 倾耳
qingguoqingcheng 倾国倾城
qingjiadangchan 倾家荡产
qingmu 倾慕
qingnang 倾囊
qingpendayu 倾盆大雨
qingsa 倾洒
qingsu 情愫
qingta 倾塌
qingtan 倾谈
qingting 蜻蜓
qingtu 倾吐
qingxiang 请降
qingxiangxing 倾向性
qingxie 倾泻
qingya 清雅
qingqingwowo 卿卿我我
qingcang 清仓
qingchen 清晨
qingdian 清点
qingye 清夜
qingzhang 清账
qingbai 清白
qingchanhezi 清产核资
qingchang 清场
qingche 清澈
qingchu 清除
qingdaofu 清道夫
qingdun 清炖
qingfei 清肺
qinggao 清高
qingguan 清官
qingguijielv 清规戒律
qinghan 清寒
qinghuan 清还
qingji 清寂
qingjiaotu 清教徒
qingjieche 清洁车
qingjiegong 清洁工
qingjing 清净
qingkou 清口
qingku 清库
qinglang 情郎
qingleng 清冷
qingli 清丽
qinglian 清涟
qingliang 清亮
qingliangyou 清凉油
qinglie 清冽
qingliu 清流
qingming 晴明
qingmingjie 清明节
qingpin 清贫
qingping 清平
qingqian 清欠
qingqiu 清秋
qingquan 清泉
qingre 清热
qingrun 清润
qingsao 清扫
qingshou 清瘦
qingshuang 清爽
qingshuiyamen 清水衙门
qingtang 清汤
qingtangguashui 清汤寡水
qingtui 清退
qingxi 清洗
qingxiu 清秀
qingyise 清一色
qingyue 清越
qingzao 清早
qingzhen 清真
qingzhenjiao 清真教
qingzhensi 清真寺
qingzheng 清蒸
qingzhuo 清浊
qingtingdianshui 蜻蜓点水
qingfen 情分
qingai 情爱
qingbao 情报
qingbuzijin 情不自禁
qingchi 情痴
qingdiao 请调
qingdouchukai 情窦初开
qinggan 情感
qingge 情歌
qinghua 情话
qinghuai 情怀
qingjizhisheng 情急智生
qingjingjiaorong 情景交融
qingmian 情面
qingren 情人
qingshenyichang 情深意长
qingshu 情书
qingsuishiqian 情随事迁
qingtongshouzu 情同手足
qingtouyihe 情投意合
qingwang 情网
qingxu 情绪
qingyouduzhong 情有独钟
qingyoukeyuan 情有可原
qingyuan 请援
qingzhenyiqie 情真意切
qingzhi 情知
qinghe 晴和
qingkong 晴空
qingkongwanli 晴空万里
qingtianpili 晴天霹雳
qingyubiao 晴雨表
qingyusan 晴雨伞
qinghuawu 氰化物
qingtianzhu 擎天柱
qingjunruweng 请君入瓮
qingan 请安
qinggong 请功
qingjia 亲家
qingjiatiao 请假条
qingtie 请帖
qingtuo 请托
qingwen 请问
qingzhan 请战
qingzui 请罪
qingjiagong 亲家公
qingjiamu 亲家母
qingdameisu 庆大霉素
qingzhunanshu 罄竹难书
qiong 琼
qiongbangzi 穷棒子
qiongbingduwu 穷兵黩武
qiongchou 穷愁
qiongfa 穷乏
qionggen 穷根
qionggutou 穷骨头
qiongguangdan 穷光蛋
qionggui 穷鬼
qiongjiwuliao 穷极无聊
qiongjiangjiu 穷讲究
qiongjin 穷尽
qiongkou 穷寇
qiongku 穷苦
qiongkun 穷困
qiongnianleiyue 穷年累月
qiongqi 穷期
qiongren 穷人
qiongshaneshui 穷山恶水
qiongshejiyu 穷奢极欲
qiongsuan 穷酸
qiongtumolu 穷途末路
qiongxiangpirang 穷乡僻壤
qiongxiongjie 穷凶极恶
qiongzesibian 穷则思变
qiongzhui 穷追
qiongzhuibushe 穷追不舍
qiongding 穹顶
qionglong 穹隆
qionglu 穹庐
qiongqiongjieli 茕茕孑立
qiongju 琼剧
qionglouyuyu 琼楼玉宇
qiongzhi 琼脂
qiu 泅
qiuba 丘八
qiuhe 丘壑
qiuling 丘陵
qiuzhen 丘疹
qiuxun 秋汛
qiubo 秋波
qiuchan 秋蝉
qiufen 秋分
qiufeng 秋风
qiufengsaoluoye 秋风扫落叶
qiugaoqishuang 秋高气爽
qiuguang 秋光
qiuhaitang 秋海棠
qiuhao 秋毫
qiuhousuanzhang 秋后算账
qiuji 球技
qiujing 秋景
qiuku 秋裤
qiulai 秋莱
qiulaohu 秋老虎
qiuliang 秋凉
qiuqian 求签
qiuri 秋日
qiuse 秋色
qiushou 求售
qiushui 泅水
qiutian 秋天
qiuyi 秋衣
qiuyou 秋游
qiuzhong 秋种
qiuzhuang 秋装
qiuzhuangjia 秋庄稼
qiuyin 蚯蚓
qiufan 囚犯
qiuche 囚车
qiufu 囚服
qiujin 囚禁
qiulao 囚牢
qiulong 囚笼
qiushi 求师
qiutu 囚徒
qiuyu 犰狳
qiuai 求爱
qiujiu 求救
qiude 求得
qiugao 求告
qiugou 求购
qiuhuan 求欢
qiuhun 求婚
qiujian 求见
qiujiao 求教
qiujie 求解
qiuou 求偶
qiuqi 求乞
qiuqin 求亲
qiuqing 求情
qiuqu 求取
qiuquan 求全
qiuquanzebei 求全责备
qiurao 求饶
qiuren 求人
qiushenbaifo 求神拜佛
qiusheng 求胜
qiusuo 求索
qiutongcunyi 求同存异
qiuwen 求稳
qiuxianruoke 求贤若渴
qiuxin 求新
qiuxue 求学
qiuyuan 求援
qiuzhan 求战
qiuzheng 求证
qiuzhi 求治
qiuzhibude 求之不得
qiuzhiyu 求知欲
qiuzhu 求助
qiudu 泅渡
qiuzhang 酋长
qiuzhangguo 酋长国
qiucao 球操
qiuchang 球场
qiudanbai 球蛋白
qiudui 球队
qiuguo 球果
qiujun 球菌
qiulei 球类
qiulu 球路
qiumen 球门
qiumi 球迷
qiumian 球面
qiupai 球拍
qiusai 球赛
qiutai 球台
qiutan 球坛
qiuti 球体
qiuwang 球网
qiuxie 球鞋
qiuxing 球形
qiupi 裘皮
ququ 区区
qu 蛆
qubie 区别
qufen 区分
quhua 趣话
quhui 区徽
qujian 区间
quqi 取齐
quwei 区位
quyu 趋于
quzhengfu 区政府
qujingtongyou 曲径通幽
qubi 曲笔
qubiezhen 曲别针
quchi 曲尺
qugunqiu 曲棍球
qujie 屈节
quliguaiwan 曲里拐弯
qumei 曲霉
qumian 曲面
ququwanwan 曲曲弯弯
quxian 曲线
quxianmei 曲线美
quyifengying 曲意逢迎
quzhe 曲折
quzhi 曲直
quche 驱车
quce 驱策
quchongji 驱虫剂
quchu 祛除
qudong 驱动
qudongqi 驱动器
qugan 躯干
quhan 驱寒
qupo 驱迫
qusan 驱散
qushi 去势
quxie 驱邪
quzhu 驱逐
quzhujian 驱逐舰
quzhuling 驱逐令
qucai 屈才
qucong 屈从
qudachengzhao 屈打成招
qufu 趋附
qujia 屈驾
qujiu 屈就
quju 曲剧
quru 屈辱
qushen 屈身
qusi 屈死
quxi 屈膝
quxin 屈心
quzhikeshu 屈指可数
quzun 屈尊
quban 祛斑
qubing 祛病
qufeng 祛风
qushu 祛暑
qutan 祛痰
quchong 蛆虫
quqiao 取巧
quti 躯体
ququer 蛐蛐儿
quhuan 趋缓
qujin 趋紧
qulibihai 趋利避害
qutong 趋同
quxiang 去向
quyanfushi 趋炎附势
quzhiruowu 趋之若鹜
quhei 黢黑
qulao 劬劳
qudao 取道
qumu 曲目
qupai 曲牌
qupu 曲谱
quyi 曲艺
quzhongrensan 曲终人散
quzi 取自
qudiao 曲调
qugaohegua 曲高和寡
qujing 取景
quxinyumin 取信于民
quyang 取样
quchangbuduan 取长补短
quyue 取悦
qujingqi 取景器
quzheng 取证
qusheng 去声
quzhibujinyongzhibujie 取之不尽，用之不竭
quzhiyuminyongzhiyumin 取之于民，用之于民
qubao 取保
qubaohoushen 取保候审
qudai 取代
qude 取得
qudi 取缔
querdaizhi 取而代之
qufa 取法
quhuo 去火
qujue 取决
qule 取乐
quming 取名
qunao 取闹
qunuan 取暖
qunuanqi 取暖器
qushe 取舍
quxiao 取笑
quqin 娶亲
qucuqujing 去粗取精
quliu 去留
qulu 去路
qunian 去年
qupi 去皮
qusui 去岁
qutongpian 去痛片
quweicunzhen 去伪存真
quwufen 去污粉
quwucunjing 去芜存菁
quwen 趣闻
quan 犬
quandi 圈地
quandian 圈点
quanding 圈定
quaner 圈儿
quantao 圈套
quanyi 权宜
quanyue 圈阅
quanzhan 圈占
quanzi 圈子
quanwen 全文
quanwuhang 全武行
quanxi 全息
quanshiquanzhong 全始全终
quanjiafu 全家福
quanshu 拳术
quantuo 全托
quanmao 全貌
quansu 全速
quanqin 全勤
quanshenxin 全身心
quanti 全体
quantianhou 全天候
quanben 全本
quanbu 全部
quancai 全才
quanchang 全长
quancheng 全称
quandou 全都
quane 全额
quanfangwei 全方位
quanfen 全份
quanfu 蜷伏
quanguo 全国
quanhui 全会
quanhuo 全活
quanji 拳击
quanjia 全价
quanjian 劝谏
quanjing 全境
quanju 全局
quanjun 全军
quankeyisheng 全科医生
quanli 全力
quanliyifu 全力以赴
quanmian 劝勉
quanmin 全民
quanmingongjue 全民公决
quanming 全名
quanneng 权能
quannian 全年
quanpan 全盘
quanpian 全篇
quanpiao 全票
quanqiu 全球
quanqiudingweixitong 全球定位系统
quanqiuxing 全球性
quanquan 拳拳
quanquandashi 全权大使
quanran 全然
quanri 全日
quanrizhi 全日制
quanshen 全身
quanshenguanzhu 全神贯注
quansheng 全盛
quanshi 全食
quanxian 权限
quanxin 全新
quanxinquanyi 全心全意
quanxiu 全休
quanyou 劝诱
quanyuan 泉源
quanyunhui 全运会
quanze 全责
quanzhiquanneng 全知全能
quanzhi 全职
quanzidong 全自动
quanbian 权变
quanbing 权柄
quanchen 权臣
quandang 权当
quangui 权贵
quanheng 权衡
quanmen 权门
quanmou 权谋
quanqianjiaoyi 权钱交易
quanqie 权且
quanwei 权位
quanyizhiji 权宜之计
quanyu 权欲
quanzhang 权杖
quanzuo 权作
quanshui 泉水
quanyan 泉眼
quanyong 泉涌
quantouchanpin 拳头产品
quanbang 拳棒
quandajiaoti 拳打脚踢
quanjiao 拳脚
quanshou 拳手
quantou 拳头
quanqu 蜷曲
quansuo 蜷缩
quangu 颧骨
quanmazhilao 犬马之劳
quanchi 犬齿
quanfei 犬吠
quanma 犬马
quanru 犬儒
quanya 犬牙
quanyajiaocuo 犬牙交错
quanjie 劝诫
quanxiang 劝降
quandao 劝导
quangao 劝告
quanhe 劝和
quanjiu 劝酒
quanmu 劝募
quanrang 劝让
quanshan 劝善
quanshuo 劝说
quantui 劝退
quanxue 劝学
quanzu 劝阻
quanshang 券商
quee 缺额
que 雀
quede 缺德
quedian 缺点
quefa 缺乏
quehan 缺憾
quehuo 缺货
quejinduanliang 缺斤短两
quebian 缺编
quejinshaoliang 缺斤少两
queke 缺课
quekou 缺口
quelou 缺漏
quemen 缺门
queqian 缺欠
queqin 缺勤
queshao 缺少
queshi 缺失
quesun 缺损
quewei 缺位
quexi 确系
quexian 缺陷
quexinyaner 缺心眼儿
quexue 缺血
queyibuke 缺一不可
queyuan 缺员
quezhen 缺阵
quezui 缺嘴
queru 阙如
quetui 瘸腿
quezi 瘸子
quebu 却步
queshuo 却说
quezhibugong 却之不恭
queban 雀斑
queyue 雀跃
quexin 确信
quezao 确凿
quezheng 确证
quebao 确保
quedang 确当
queding 确定
quefei 确非
quehu 确乎
queli 确立
queqie 确切
queren 确认
quechaojiuzhan 鹊巢鸠占
queqi 鹊起
queqiao 鹊桥
qunxun 逡巡
qundai 裙带
qundaiguanxi 裙带关系
qunku 裙裤
qunzi 裙子
qunxing 群星
qunlongwushou 群龙无首
quncequnli 群策群力
qunfang 群芳
qunfeng 群峰
qunyantang 群言堂
qunhun 群婚
qunji 群集
qunju 群聚
qunzhong 群众
qunzhongguanxi 群众关系
qunkouxiangsheng 群口相声
qunluo 群落
qunmeng 群氓
qunmoluanwu 群魔乱舞
qunou 群殴
qunqi 群起
qunqing 群情
qunxiong 群雄
qunshan 群山
qunti 群体
qunxiang 群像
qun 群
qundao 群岛
qundiao 群雕
qunzhongluxian 群众路线
qunzhongyundong 群众运动
qunzhongzuzhi 群众组织
ranhou 然后
ran 燃
raner 然而
rannuo 然诺
ranze 然则
ranbao 燃爆
randian 燃点
ranfang 染坊
ranliao 染料
ranmei 燃煤
ranmeizhiji 燃眉之急
ranqi 燃气
ranqilunji 燃气轮机
ranshao 燃烧
ranshaodan 燃烧弹
ranshaoping 燃烧瓶
ranyou 燃油
ranran 冉冉
ranbing 染病
ranfa 染发
ranfaji 染发剂
rangang 染缸
ranse 染色
ranseti 染色体
ranzhi 染织
rang 瓤
rangjiao 嚷叫
rangrang 嚷嚷
rangzi 瓤子
rangduo 攘夺
rangwai 攘外
rangwei 让位
rangxian 让贤
rangbu 让步
rangjia 让价
rangzuo 让座
rangli 让利
ranglu 让路
rao 饶
raoming 饶命
raoren 饶人
raoshe 饶舌
raoshu 饶恕
raoyou 饶有
raodong 扰动
raoluan 扰乱
raomin 扰民
raochang 绕场
raodao 绕道
raokouling 绕口令
raoliangsanri 绕梁三日
raolu 绕路
raoquanzi 绕圈子
raowaner 绕弯儿
raowanzi 绕弯子
raoxing 绕行
raoyuaner 绕远儿
raozui 绕嘴
reren 惹人
re 惹
rebuqi 惹不起
rehuoshaoshen 惹火烧身
rehuo 热和
reqi 惹气
reshi 惹事
reshifei 惹是非
reshishengfei 惹是生非
reyan 惹眼
rechang 热肠
redaoxiaoying 热岛效应
rehu 热乎
reai 热爱
rebing 热病
rebo 热播
recai 热菜
rechao 热炒
rechen 热忱
recheng 热诚
rechuli 热处理
redai 热带
redaifengbao 热带风暴
redaiyu 热带鱼
redaiyulin 热带雨林
redekuai 热得快
redian 热点
redianchang 热电厂
redu 热毒
refeng 热风
refu 热敷
regou 热狗
rehonghong 热烘烘
rehuhu 热乎乎
rehuochaotian 热火朝天
rejiagong 热加工
relala 热辣辣
relang 热浪
relei 热泪
releiyingkuang 热泪盈眶
reli 热力
relian 热恋
reliang 热量
relie 热烈
reliu 热流
remai 热卖
remen 热门
remenhuo 热门货
renao 热闹
reneng 热能
reqiqiu 热气球
reqie 热切
reqing 热情
reshen 热身
