hai है
raajyaabhisheka राज्याभिषेक
churaaege चुराएँगे
raamamanohara राममनोहर
churaaoo चुराऊँ
raamaraaja रामराज
churaaoogaa चुराऊँगा
churaaoogee चुराऊँगी
rukavaa रुकवा
retigsa रेटिंग्स
churaaie चुराइए
churaaiegaa चुराइएगा
latakatee लटकती
churaaiegee चुराइएगी
churaao चुराओ
litarechara लिटरेचर
churaaoge चुराओगे
churaaogee चुराओगी
varunaa वरुणा
churee चुरीं
vaapee वापी
chure चुरे
vaarena वारेन
churo चुरों
vidhyavaasinee विंध्यवासिनी
viyaagraa वियाग्रा
vivashataa विवशता
vistaa विस्टा
veenasa वीनस
veemena वीमेन
vokala वोकल
vyaadhi व्याधि
shikaariyo शिकारियों
shoshaka शोषक
sakuchana संकुचन
saketako संकेतकों
satripta संतृप्त
satyavatee सत्यवती
samaja समज
samajhiye समझिये
samatulya समतुल्य
chaaumeena चाउमीन
sarvekshano सर्वेक्षणों
saakhya सांख्य
anataa अनंता
saabira साबिर
anatee अनंती
sudesha सुदेश
anatataa अनंतता
selibreta सेलिब्रेट
seviga सेविंग
anato अनंतों
saiktara सैक्टर
vyatiropana व्यतिरोपण
sonala सोनल
anada अनंद
stoola स्टूल
anadee अनंदी
straaga स्ट्रांग
anado अनंदों
snaayu स्नायु
siddhadeva सिद्धदेव
dilavaalaa दिलवाला
svachaalana स्वचालन
jaakee क़जाकी
hatavaa हटवा
abhiharana अभिहरण
abhiharano अभिहरणों
haajiree हाजिरी
ashtachakra अष्टचक्र
hisaatmaka हिंसात्मक
achooshya अचूष्य
hiyara हियर
alpahaara अल्पहार
helpara हेल्पर
alpahaaree अल्पहारी
haiga हैंग
heetarokromosoma हीटरोक्रोमोसोम
vanashrigaataka वनशृंगाटक
rigavarma रिंगवर्म
dhyaanarata ध्यानरत
anabha अनंभ
thooleeyama थूलीयम
ainadee ऐनडी
hataaiyo हटाइयो
hataave हटावे
hataataa हटाता
hataatee हटाती
hataaegaa हटाएगा
hataaegee हटाएगी
hataaege हटाएँगे
hataaoo हटाऊँ
hataaoogaa हटाऊँगा
hataaoogee हटाऊँगी
hataaie हटाइए
hataaiegaa हटाइएगा
hataaiegee हटाइएगी
hataaoge हटाओगे
hataaogee हटाओगी
hatee हटीं
age अंगेज़
bhoomyaadhikaaree भूम्याधिकारी
vakrar वक्रर्
apaanrita अपानृत
ataravaalee अंतरवाली
yooronika यूरोनिक
svapnadarshee स्वप्नदर्शी
khudaabadee खुदाबंदी
ashruvarshaa अश्रुवर्षा
ugalavaa उगलवा
ugalavaaiyo उगलवाइयो
ugalavaave उगलवावे
ugalavaaee उगलवाई
ugalavaakara उगलवाकर
ugalavaanaa उगलवाना
ugalavaane उगलवाने
ugalavaataa उगलवाता
ugalavaatee उगलवाती
ugalavaate उगलवाते
ugalavaae उगलवाए
ugalavaaegaa उगलवाएगा
ugalavaaegee उगलवाएगी
ugalavaaege उगलवाएँगे
ugalavaaoo उगलवाऊँ
ugalavaaoogaa उगलवाऊँगा
ugalavaaoogee उगलवाऊँगी
ugalavaaie उगलवाइए
ugalavaaiegaa उगलवाइएगा
ugalavaaiegee उगलवाइएगी
ugalavaao उगलवाओ
ugalavaaoge उगलवाओगे
ugalavaaogee उगलवाओगी
himavarshaa हिमवर्षा
anasha अनंश
anashataa अनंशता
daine डैने
kranda क्रन्द
aakranda आक्रन्द
kacha कॅच
rupavatee रुपवती
kranna क्रन्न
jeroosalama जेरूसलम
lulana लुलन
lulanaa लुलना
kshatigata क्षतिगत
hayaghna हयघ्न
sudhavaa सुधंवा
atrisha अतृष
atrishaa अतृषा
thaashvaree ठाड़ेश्वरी
daidaraaita डैडराइट
nishakataa निःशंकता
shaliga शफ़लिंग
shraddhaaheenata श्रद्धाहीनतः
aasthagana आस्थगन
aasthagano आस्थगनों
digraidebala डिग्रैडेबल
neearasaaitidanaisa नीअरसाइटिडनैस
hathavaasa हथवाँस
toyaraashi तोयराशि
nuka नुक
nukaa नुका
kochanee कोँचनी
nishkraamaka निष्क्रामक
bhinnatva भिन्नत्व
abhinnatva अभिन्नत्व
paraashravya पराश्रव्य
poornajnya पूर्णज्ञ
nucha नुच
nuchiyo नुचियो
nucho नुचो
nuchoge नुचोगे
nuchogee नुचोगी
nuche नुचे
nuchegee नुचेगी
nuchegaa नुचेगा
nuchege नुचेंगे
nuchoo नुचूँ
nuchoogee नुचूँगी
nuchoogaa नुचूँगा
nuchee नुची
nuchie नुचिए
nuchiegee नुचिएगी
nuchiegaa नुचिएगा
nuchane नुचने
nuchanaa नुचना
nuchate नुचते
nuchatee नुचती
nuchataa नुचता
nuchakara नुचकर
nuchaa नुचा
janmaatara जन्मांतर
janmaataro जन्मांतरों
garaava गराँव
garaavo गराँवों
dharmanirapekshataavaada धर्मनिरपेक्षतावाद
dharmanirapekshataavaadee धर्मनिरपेक्षतावादी
chaaruguchchhaa चारुगुच्छा
stapavacha स्टॉपवॉच
saakalya साकल्य
saakalyo साकल्यों
drimatapoorvaka दृढ़मतपूर्वक
halaakoo हलाकू
samudraarthaa समुद्रार्था
parisiddaka परिसिद्दक
nuta नुत
ireesha इरीश
ireeshaa इरीशा
ireeshee इरीशी
nishkraamana निष्क्रामण
ailphaa ऐल्फा
aanadakalaa आनंदकला
nishchayavaadee निश्चयवादी
pepteedoglaayakana पेप्टीडोग्लायकन
chekoslovaakiyaa चेकोस्लोवाकिया
rathakaara रथकार
rathakaaro रथकारों
ainadorsamaita ऐनडोर्समैंट
kusaskriti कुसंस्कृति
nanade ननदें
nanado ननदों
nanadee ननदी
vidyaamadira विद्यामंदिर
iaraviga इअरविग
ipaalaa इंपाला
aatmabandhu आत्मबन्धु
nyookliaaiu न्यूक्लिआइउ
kavinaatha कविनाथ
poorvaashrayee पूर्वाश्रयी
binaisamaina बिज़नैसमैन
tulaseesa तुलसीस
sukhachaina सुखचैन
nibandhana निबन्धन
durgreha दुर्ग्रेह
vyajanaartha व्यंजनार्थ
kaalalauha काललौह
bhaasata भासंत
bhaasatee भासंती
rmighama फ़ार्मिंघम
eeveshana ईक़्वेशन
bujmaa बुज्मा
maismaraaida मैस्मराइज़्ड
avaarijaa अवारिजा
nirasti निरस्ति
sadanaatmaka सदनात्मक
ekasadanaatmaka एकसदनात्मक
bahusadanaatmaka बहुसदनात्मक
lagota लंगोट
lagotaa लंगोटा
lagotee लंगोटी
arvatee अर्वती
sahashayyaa सहशय्या
svaartheepana स्वार्थीपन
svaartheepanaa स्वार्थीपना
praarabhataa प्रारंभता
praarabho प्रारंभों
praarabhasoochaka प्रारंभसूचक
raajan राजन्
lohitaatmaa लोहितात्मा
mithyaabhaashee मिथ्याभाषी
atrishna अतृष्ण
atrishnaa अतृष्णा
protkarshana प्रोत्कर्षण
demakresee डेमॉक्रेसी
tadaroopataa तदरूपता
aapasunee आपसुनी
abhinahana अभिनहन
kadhaiyaa कँधैया
vaayudaabitaa वायुदाबिता
chaumasiyaa चौमसिया
chaumasiyaae चौमसियाएँ
chaumasiyaao चौमसियाओं
apratisaharaneeya अप्रतिसंहरणीय
ushagu उषंगु
rachchha रच्छ
ankita अन्कित
udaraposhana उदरपोषण
udaraposhano उदरपोषणों
audyaugika औद्यौगिक
asadigdhaarthataa असंदिग्धार्थता
mrigamareechikaa मृगमरीचिका
sugadhaara सुगंधार
naagaraajana नागराजन
kaushaya कौषय
kamandalu कमण्डलु
asurdaa अफ़सुर्दा
svachaalitra स्वचालित्र
chadavatee चंडवती
avarodhaka अवरोधक
avarodhakataa अवरोधकता
avarodhako अवरोधकों
tenta टेन्ट
ghatayoni घटयोनि
pideekarana पिंडीकरण
vishraatigriha विश्रांतिगृह
yajnyakaala यज्ञकाल
jaikapauta जैकपौट
khakhara खँखर
khakharaa खँखरा
khakhariyo खँखरियो
khakharo खँखरो
khakharoge खँखरोगे
khakharogee खँखरोगी
khakhare खँखरे
khakharegee खँखरेगी
khakharegaa खँखरेगा
khakharege खँखरेंगे
khakharoo खँखरूँ
khakharoogee खँखरूँगी
khakharoogaa खँखरूँगा
khakharee खँखरी
khakharie खँखरिए
khakhariegee खँखरिएगी
khakhariegaa खँखरिएगा
khakharane खँखरने
khakharanaa खँखरना
khakharate खँखरते
khakharatee खँखरती
khakharataa खँखरता
jethasa जेठंस
pijaraapola पिंजरापोल
nikshepaka निक्षेपक
nikshepako निक्षेपकों
paaharoo पाहरू
sageetaveshma संगीतवेश्म
rachya रच्य
rachyataa रच्यता
lekhasaaghana लेखसाघन
svaguptaa स्वगुप्ता
samaanaadhikaaravaada समानाधिकारवाद
samaanaadhikaaravaadee समानाधिकारवादी
anupoorakaprashna अनुपूरकप्रश्न
vesheeya वेशीय
prativesheeya प्रतिवेशीय
aparidhaanitata अपरिधानितत
achaaradaana अचारदान
achaaradaanee अचारदानी
mitrataanaa मित्रताना
adaiva अदैव
risepshananumaa रिसेप्शननुमा
jalaunee जलौनी
ulajhaapana उलझापन
sapoornavridgha संपूर्णवृद्घ
avarodhana अवरोधन
avarodhano अवरोधनों
avarodhanaa अवरोधना
sheeghralekhana शीघ्रलेखन
deenaara दीनार
deenaaro दीनारों
labhaneeya लंभनीय
agaaro अँगारों
nathaniyaa नथनिया
abdapa अब्दप
kuragalochanaa कुरंगलोचना
karabhaajana करभाजन
vaamaratha वामरथ
jvehara ज्वेहर
nikshepana निक्षेपण
nikshepano निक्षेपणों
naraso नरसों
anaraso अनरसों
veshadhara वेशधर
saubhraatra सौभ्रात्र
eeshanaa ईषना
saadhaara साधार
saadhaarataa साधारता
hulahula हुलहुल
shrakhalaao श्रंखलाओं
shreneedesha श्रेणीःदेश
shrrigee श्रृंगी
shrrishti श्रृष्टि
shrutiyo श्रुतियों
shreeyatra श्रीयंत्र
shri श्रि
shnaaidara श्नाइडर
shonaalee शोनाली
shailasamooha शैलसमूह
shaigee शैगी
shevarale शेवरले
shootaaaoota शूटआऊट
sheepadaga शीपडॉग
shinakaanasena शिनकानसेन
shiada शिअद
shaahabaada शाहबाद
shaahagadha शाहगढ़
shaarkee शार्की
shaaralemena शारलेमेन
shaakuntala शाकुन्तल
shaakataayana शाकटायन
sharira शरिर
shanno शन्नो
shaktipreshana शक्तिप्रेषण
shake शके
vyaapakaparna व्यापकपर्ण
vaibhavalakshmee वैभवलक्ष्मी
vaibasaaita वैबसाइट
vaidyutachumbakatva वैद्युतचुम्बकत्व
vekataraamana वेंकटरामन
vestavuda वेस्टवुड
velesle वेलेस्ले
velaacheree वेलाचेरी
veyarahaausa वेयरहाउस
veerappaa वीरप्पा
vishottaree विंशोत्तरी
vitarsa विंटर्स
vishnustvaanayatu विष्णुस्त्वानयतु
vishavijnyaana विषविज्ञान
vishaakhadatta विशाखदत्त
vilbara विल्बर
vilphreda विल्फ्रेड
vimena विमेन
vindaavahai विन्दावहै
vinirmaataao विनिर्माताओं
vidyottamaa विद्योत्तमा
vidyudvishleshya विद्युद्विश्लेष्य
vidyudvaahaka विद्युद्वाहक
vidyutavaahaka विद्युतवाहक
vidyutachumbaka विद्युतचुम्बक
vijetaae विजेताएं
vijayapaala विजयपाल
vijayanagarama विजयनगरम
vikramapura विक्रमपुर
vikeerana विकीरण
vikipediyaa विकिपेडिया
vikipatrikaa विकिपत्रिका
vikarshana विकर्षण
vaaro वारों
vaaraagala वारांगल
vaatsa वाट्स
vaatameetara वाटमीटर
varseja वर्सेज़
vartaniyo वर्तनियों
vargeekarano वर्गीकरणों
vargakimee वर्गकिमी
vandemaataram वन्देमातरम्
vajarapura वज़ीरपुर
lyoomena ल्यूमेन
lohaaroo लोहारू
lohaaraa लोहारा
lobaato लोबाटो
lokopakaaraka लोकोपकारक
lokasaparka लोकसंपर्क
lokasevaao लोकसेवाओं
lehamana लेहमन
leproskopika लेप्रोस्कोपिक
ledo लेडो
legasee लेगसी
looja लूज़
luigee लुइगी
liko लिंकों
liyaao लियाओ
limphaadenopaithee लिम्फाडेनोपैथी
lipyantarita लिप्यन्तरित
lipajiga लिपजिग
liona लिओन
li0 लि०
laayalaa लायला
laaeebreree लाईब्रेरी
laaineksa लाइनेक्स
lavaasaa लवासा
lamajunga लमजुङ
laghusiddhaantakaumudee लघुसिद्धान्तकौमुदी
lagamaana लग़मान
lagadha लगध
hulahulee हुलहुली
pratyaarabha प्रत्यारंभ
pratyaarabho प्रत्यारंभों
alara अलग़रज़
divasaabhisaarikaa दिवसाभिसारिका
gurabaraa गुरबरा
gurabare गुरबरे
gurabaro गुरबरों
jaananahaara जाननहार
jaananahaaraa जाननहारा
jaananahaaree जाननहारी
vasupraana वसुप्राण
janahitaishee जनहितैषी
aadilava आदिलव
kootabaddha कूटबद्ध
akootabaddha अकूटबद्ध
hemaamaalinee हेमामालिनी
bahariyaa बहरिया
bahariyaaiyo बहरियाइयो
bahariyaave बहरियावे
bahariyaaee बहरियाई
bahariyaakara बहरियाकर
bahariyaanaa बहरियाना
bahariyaane बहरियाने
bahariyaataa बहरियाता
bahariyaatee बहरियाती
bahariyaate बहरियाते
bahariyaae बहरियाए
bahariyaaegaa बहरियाएगा
bahariyaaegee बहरियाएगी
bahariyaaege बहरियाएँगे
bahariyaaoo बहरियाऊँ
bahariyaaoogaa बहरियाऊँगा
bahariyaaoogee बहरियाऊँगी
bahariyaaie बहरियाइए
bahariyaaiegaa बहरियाइएगा
bahariyaaiegee बहरियाइएगी
bahariyaao बहरियाओ
bahariyaaoge बहरियाओगे
bahariyaaogee बहरियाओगी
kootaavapata कूटावपंत
naagaantaka नागान्तक
rogamukti रोगमुक्ति
yugaantaka युगान्तक
heenadhvani हीनध्वनि
nakhiyaa नखिया
nakhiyaaiyo नखियाइयो
nakhiyaave नखियावे
nakhiyaaee नखियाई
nakhiyaakara नखियाकर
nakhiyaanaa नखियाना
nakhiyaane नखियाने
nakhiyaataa नखियाता
nakhiyaatee नखियाती
nakhiyaate नखियाते
nakhiyaae नखियाए
nakhiyaaegaa नखियाएगा
nakhiyaaegee नखियाएगी
nakhiyaaege नखियाएँगे
nakhiyaaoo नखियाऊँ
nakhiyaaoogaa नखियाऊँगा
nakhiyaaoogee नखियाऊँगी
nakhiyaaie नखियाइए
nakhiyaaiegaa नखियाइएगा
nakhiyaaiegee नखियाइएगी
nakhiyaao नखियाओ
nakhiyaaoge नखियाओगे
nakhiyaaogee नखियाओगी
yogyataasapanna योग्यतासंपन्न
teesheenee तीशीफ़ोनी
harshotsava हर्षोत्सव
pikaananda पिकानन्द
aupavana औपवन
aijelisa ऐंजेलिस
lajeelaapana लजीलापन
pareekshakataa परीक्षकता
pareekshako परीक्षकों
ativaktaa अतिवक्ता
kloropreena क्लोरोप्रीन
saamaasika सामासिक
saamaasikataa सामासिकता
ahaloovaaliyaa अहलूवालिया
kadrapa कंद्रप
vishaayayudgha विशाययुद्घ
sarvakashtanaashanee सर्वकष्टनाशनी
asuraari असुरारि
antatogatvaa अन्ततोगत्वा
buladeekara बुलंदीकर
buladeenaa बुलंदीना
buladeene बुलंदीने
buladeetaa बुलंदीता
buladeetee बुलंदीती
buladeete बुलंदीते
buladeegaa बुलंदीगा
buladeegee बुलंदीगी
buladeege बुलंदीँगे
buladeeoo बुलंदीऊँ
buladeeoogaa बुलंदीऊँगा
buladeeoogee बुलंदीऊँगी
anaveekaraneeya अनवीकरणीय
divyapurusha दिव्यपुरुष
yakasara यकसर
krisaana क्रिसान
chetaavaahinee चेतावाहिनी
madhushignu मधुशिग्नु
ahaahaa अहाहा
naishechanika नैषेचनिक
madabheda मदभेद
paamaleta पामफ़्लेट
pareekshanakartaa परीक्षणकर्ता
mayatanujaa मयतनुजा
vaakpralaapa वाक्प्रलाप
kataretee कटरेती
svaaratha स्वारथ
bokara बोकर
bokaraa बोकरा
bokaree बोकरी
tarkashaastrajnya तर्कशास्त्रज्ञ
tarkashaastrajnyo तर्कशास्त्रज्ञों
jalakukuree जलकुकुरी
pallavo पल्लवों
phulli फुल्लि
yugaantara युगान्तर
thaichaa थैचा
runaaee रुनाई
arunaaee अरुनाई
pachhuvaa पछुवा
upakaaraartha उपकारार्थ
praghaana प्रघाण
kapoorakacharee कपूरकचरी
tatvaatara तत्वांतर
praghaata प्रघात
praghaatee प्रघाती
bhaagaadhikaara भागाधिकार
bhaagaadhikaaree भागाधिकारी
chande चन्दे
chando चन्दों
hamapallaa हमपल्ला
daridranaaraayana दरिद्रनारायण
daridranaaraayano दरिद्रनारायणों
santapta सन्तप्त
palli पल्लि
garamamija गरममिज़ाज
garamamijee गरममिज़ाजी
bokaa बोका
boke बोके
boko बोकों
dhugaara धुँगार
dhugaarataa धुँगारता
dhugaariyo धुँगारियो
dhugaaro धुँगारो
dhugaaroge धुँगारोगे
dhugaarogee धुँगारोगी
dhugaare धुँगारे
dhugaaregee धुँगारेगी
dhugaaregaa धुँगारेगा
dhugaarege धुँगारेंगे
dhugaaroo धुँगारूँ
dhugaaroogee धुँगारूँगी
dhugaaroogaa धुँगारूँगा
dhugaaree धुँगारी
dhugaarie धुँगारिए
dhugaariegee धुँगारिएगी
dhugaariegaa धुँगारिएगा
dhugaarane धुँगारने
dhugaaranaa धुँगारना
dhugaarate धुँगारते
dhugaaratee धुँगारती
seemika सीमिक
seemikaa सीमिका
jaisetruti जैसेत्रुटि
jaisetrutio जैसेत्रुटिओं
praishanika प्रैषणिक
trejadee ट्रेजडी
banamurgee बनमुर्गी
abhivyaktipoorna अभिव्यक्तिपूर्ण
pausaara पौसार
sukeertishobhana सुकीर्तिशोभन
gorontaalo गोरोन्तालो
padmakeeta पद्मकीट
utthitata उत्थितत
utthitataa उत्थितता
pareekshe परीक्षे
pareeksho परीक्षों
vivaahochchhedana विवाहोच्छेदन
mashka मश्क
mashke मश्कें
mashko मश्कों
mashkee मश्की
nishadhaavatee निषधावती
yaduvara यदुवर
vilakshanata विलक्षणत
sammugdha सम्मुग्ध
sammugdhataa सम्मुग्धता
nataleelaa नटलीला
nataleelaae नटलीलाएँ
nataleelaao नटलीलाओं
riprajaiteshana रिप्रजैंटेशन
seemitataa सीमितता
seemito सीमितों
shulbagadheta शुल्बगंधेत
bhaavanaamochana भावनामोचन
veediyona वीडियोफ़ोन
shleshmajeevaanu श्लेष्मजीवाणु
tausanaa तौँसना
gichapicha गिचपिच
chudhiyaataa चुँधियाता
chudhiyaatee चुँधियाती
adharabimba अधरबिम्ब
trauvala ट्रौवल
krooraakriti क्रूराकृति
avivakshita अविवक्षित
sarvayogavinisrita सर्वयोगविनिःसृत
vinaashapoornataa विनाशपूर्णता
aaloodama आलूदम
srijadhaara सृजंधार
manobhilashita मनोभिलषित
shirapata शिरःपट
ayaathaarthika अयाथार्थिक
kaadirakaara कादिरकार
ashruheena अश्रुहीन
aadhunikeekrita आधुनिकीकृत
gharagrihasthee घरगृहस्थी
utthiti उत्थिति
megdelena मेग्डेलेन
anishkraata अनिष्क्रांत
nadhaaee नधाई
baitareechaalita बैटरीचालित
pichhapana पिछड़ापन
pichhapano पिछड़ापनों
chaaraaaeenaa चारआईना
chaaraaaeene चारआईने
chaaraaaeeno चारआईनों
nimnadaaba निम्नदाब
lagadee लगदी
minnesotaa मिन्नेसोटा
injaikshana इन्जैक्शन
samaapatti समापत्ति
poorvarikaardita पूर्वरिकार्डित
steepala स्टीपल
lipsaapoorvaka लिप्सापूर्वक
aalipsaapoorvaka आलिप्सापूर्वक
madhubahulaa मधुबहुला
aaloodaa आलूदा
dyu द्यु
vidyu विद्यु
vebalaga वेबलॉग
anookula अनूकुल
ksheerakaadaka क्षीरकाडंक
kheteehara खेतीहर
bhauchchake भौंच्चके
vismayajanaka विस्मयजनक
vismayajanakataa विस्मयजनकता
susaskaarya सुसंस्कार्य
samyako सम्यकों
barethina बरेठिन
samyaga सम्यग
natarangga नटरङ्ग
rojagaaronmukha रोजगारोन्मुख
bhasaka भऱसक
agamyaagaamee अगम्यागामी
kilaavaa किलावा
kilaave किलावे
kilaavo किलावों
yarooshalama यरूशलम
donaliyaa दोनलिया
ainistheesiyaa ऐनिस्थीसिया
dyo द्यो
sasajeedagee ससंजीदगी
samyacha सम्यच
dyau द्यौ
achalatvita अचलत्विट
abaraarabha अंबरारंभ
hasakoota हंसकूट
hasakooto हंसकूटों
chiraprachalita चिरप्रचलित
paditavirodhee पंडितविरोधी
raajadarabaara राजदरबार
raajadarabaaree राजदरबारी
raajadarabaaro राजदरबारों
phineeja फिनीज
kathiaa कठिआ
poogaphala पूगफल
naghanaa नँघना
nivedaka निवेदक
nivedakataa निवेदकता
amaayika अमायिक
aakilakhaanee आकिलखानी
taamramoolaa ताम्रमूला
taamramoole ताम्रमूले
taamramoolo ताम्रमूलों
danujedra दनुजेंद्र
danujedro दनुजेंद्रों
baee बड़ाई
baio बड़ाइओं
baiyaa बड़ाइयाँ
satvana संत्वण
jalaantaka जलान्तक
dhaaraavaahee धारावाही
pathita पठित
pathito पठितों
kamalake कमलके
shvaasakaasa श्वासकास
chirasthaaee चिरस्थाई
achirasthaaee अचिरस्थाई
siroruha सिरोरुह
eediyoplaama ईडियोप्लाज़्म
paramaanaveeya परमाणवीय
paramaanaveeyataa परमाणवीयता
purushaarthayukta पुरुषार्थयुक्त
vyastata व्यस्तत
sarakhela सरखेल
ujabekee उजबेकी
arateesa अरतीस
nadhaava नधाव
ujabega उजबेग
maalyapushpa माल्यपुष्प
aaropaka आरोपक
baragadee बरगंडी
nivedano निवेदनों
nivedanaa निवेदना
praarna प्रार्ण
dhavaaee धवाई
baadhavaaee बाधवाई
hrishu हृषु
nigopana निगोपन
samaataravartee समांतरवर्ती
phaimalee फैमली
aatmaahuti आत्माहुति
ritara फ़्रिटर
sitaarabaa सितारबाज़
shreemana श्रीमन
vriddhiheena वृद्धिहीन
luranaa लुरना
bhoomyantargata भूम्यन्तर्गत
shalyaparnikaa शल्यपर्णिका
palatavaa पलटवा
palatavaaiyo पलटवाइयो
palatavaave पलटवावे
palatavaaee पलटवाई
palatavaakara पलटवाकर
palatavaanaa पलटवाना
palatavaane पलटवाने
palatavaataa पलटवाता
palatavaatee पलटवाती
palatavaate पलटवाते
palatavaae पलटवाए
palatavaaegaa पलटवाएगा
palatavaaegee पलटवाएगी
palatavaaege पलटवाएँगे
palatavaaoo पलटवाऊँ
palatavaaoogaa पलटवाऊँगा
palatavaaoogee पलटवाऊँगी
palatavaaie पलटवाइए
palatavaaiegaa पलटवाइएगा
palatavaaiegee पलटवाइएगी
palatavaao पलटवाओ
palatavaaoge पलटवाओगे
palatavaaogee पलटवाओगी
amritabhojee अमृतभोजी
divaadhikaa दिवांधिका
haimabargara हैमबर्गर
bhaasya भास्य
mainijee मैनिंजीज़
kathinaa कठिना
kathinee कठिनी
kathine कठिने
kathinataa कठिनता
kathino कठिनों
nyaayabala न्यायबल
nyaayabalo न्यायबलों
garbhashaku गर्भशंकु
aaropana आरोपण
aaropano आरोपणों
godaaruna गोदारुण
yogasiddhi योगसिद्धि
kalpaarabhee कल्पारंभी
taraanaasaa तरानासाज़
rathaagra रथाग्र
jhoonaa झूना
ajhoonaa अझूना
bhaagyavaada भाग्यवाद
bhaagyavaadee भाग्यवादी
vaadyavrindakaara वाद्यवृन्दकार
vaadyavrindakaaro वाद्यवृन्दकारों
saaiklopee साइक्लोपी
paitahaausa पैंटहाउस
bhaagyavaana भाग्यवान
bhaagyavaanee भाग्यवानी
bhaagyavaano भाग्यवानों
aaprachodana आप्रचोदन
sooryagrahano सूर्यग्रहणों
draata ड्राफ़्ट
draato ड्राफ़्टों
skadhapajee स्कंधपंजी
chikurapaasha चिकुरपाश
daaroopeetaa दारूपीता
dunirmitta दुनिर्मित्त
aparigata अपरिगत
jeevotpatti जीवोत्पत्ति
chaukannaa चौकन्ना
chaukannee चौकन्नी
chaukanne चौकन्ने
svaarthaadha स्वार्थांध
laachhanaatmaka लांछनात्मक
dviadhareeya द्विअधरीय
saplaavaka संप्लावक
sthalapradarshaka स्थलप्रदर्शक
atassthataa अंतस्स्थता
kavadhee कवधी
pashuroma पशुरोम
aispika ऐस्पिक
prithakkiyaa पृथक्किया
phonograapha फोनोग्राफ
himaadritanayaa हिमाद्रितनया
trish तृष्
bhakeelaa भड़कीला
bhakeele भड़कीले
bhakeelo भड़कीलों
bhakeelee भड़कीली
bisana बिसन
bisanee बिसनी
kaanta कान्त
kaantaa कान्ता
ravaneeta रवनीत
dhadhaka धंधक
samaapanna समापन्न
bisara बिसर
bisaraa बिसरा
bisariyo बिसरियो
bisaro बिसरो
bisaroge बिसरोगे
bisarogee बिसरोगी
bisare बिसरे
bisaregee बिसरेगी
bisaregaa बिसरेगा
bisarege बिसरेंगे
bisaroo बिसरूँ
bisaroogee बिसरूँगी
bisaroogaa बिसरूँगा
bisaree बिसरी
bisarie बिसरिए
bisariegee बिसरिएगी
bisariegaa बिसरिएगा
bisarane बिसरने
bisaranaa बिसरना
bisarate बिसरते
bisaratee बिसरती
bisarataa बिसरता
prakarsheeya प्रकर्षीय
aashramaguru आश्रमगुरु
aileesiyama ऐलीसियम
neechataapoorna नीचतापूर्ण
ardhatithi अर्धतिथि
saplaavana संप्लावन
daivaheena दैवहीन
raaata ज़िराअत
raaate ज़िराअतें
raaato ज़िराअतों
nivirnna निविर्न्न
nivirnnataa निविर्न्नता
thukanee थुकनी
sitakatha सितकंठ
ghataapatha घंटापथ
kaanha कान्ह
bisaa बिसा
bisaaiyo बिसाइयो
bisaave बिसावे
bisaaee बिसाई
bisaakara बिसाकर
bisaanaa बिसाना
bisaane बिसाने
bisaataa बिसाता
bisaatee बिसाती
bisaate बिसाते
bisaae बिसाए
bisaaegaa बिसाएगा
bisaaegee बिसाएगी
bisaaege बिसाएँगे
bisaaoo बिसाऊँ
bisaaoogaa बिसाऊँगा
bisaaoogee बिसाऊँगी
bisaaie बिसाइए
bisaaiegaa बिसाइएगा
bisaaiegee बिसाइएगी
bisaao बिसाओ
bisaaoge बिसाओगे
bisaaogee बिसाओगी
lakshyakara लक्ष्यकर
karakotaka करकोटक
nikhattara निखट्टर
paramaveero परमवीरों
naketee नकेटी
kumaaro कुमारों
taasilaaitisa टांसिलाइटिस
kashmishchita कश्मिंश्चित
namuchisoodana नमुचिसूदन
maaunateyariga माउनटेयरिंग
paraadvaarida पराद्वारिद
chhaayaagata छायागत
samalekha समलेख
nirvyaaja निर्व्याज
jalaatakagrasta जलातंकग्रस्त
alamaariyaa अलमारियाँ
alamaario अलमारिओं
pauseraa पौसेरा
pauseree पौसेरी
chaturhasta चतुर्हस्त
parilekha परिलेख
parilekho परिलेखों
arajaska अरजस्क
reemesana फ़्रीमेसन
hastishaalaa हस्तिशाला
samarhya समर्ह्य
ldasaaja ज़िल्दसाज
maasayoni मांसयोनि
apharataa अफरता
aphariyo अफरियो
apharo अफरो
apharoge अफरोगे
apharogee अफरोगी
aphare अफरे
apharegee अफरेगी
apharegaa अफरेगा
apharege अफरेंगे
apharoo अफरूँ
apharoogee अफरूँगी
apharoogaa अफरूँगा
apharee अफरी
apharie अफरिए
aphariegee अफरिएगी
aphariegaa अफरिएगा
laksambarga लक्सम्बर्ग
ratajana रंटजन
rohilakhada रोहिलखंड
rolaanda रोलाण्ड
rojina रोजिन
rabareedo रॉबरीडो
raibo रैंबो
raimee रैमी
raimase रैमसे
raipunjala रैपुन्ज़ेल
renolta रेनोल्ट
rejolyooshana रेजोल्यूशन
rejeementa रेजीमेण्ट
roomaantcha रूमान्त्च
runakataa रुनकता
rukminee रुक्मिनी
reedarsa रीडर्स
reeja रीज़
raayaseenaa रायसीना
raamechhaapa रामेछाप
raamasetu रामसेतु
raamasharana रामशरण
raadhaakunda राधाकुण्ड
raajagopaalaachaarya राजगोपालाचार्य
raajaka राज़क
raageshvaree रागेश्वरी
raaudee राउडी
raaiboja राइबोज़
raaiphalabarda राइफलबर्ड
